index,price,type,size,municipality,district
0,400,2,78.0,Figueira da Foz,Coimbra
1,1300,3,140.0,Lordelo do Ouro e Massarelos,Porto
2,650,1,57.0,Glória e Vera Cruz,Aveiro
3,1200,1,58.0,São Vicente,Lisboa
4,285,1,55.0,Mealhada,Aveiro
5,395,3,91.0,Mealhada,Aveiro
6,190,0,19.0,Mealhada,Aveiro
7,255,1,35.0,Mealhada,Aveiro
8,800,1,40.0,Areeiro,Lisboa
9,2650,4,200.0,Campo de Ourique,Lisboa
10,850,1,75.0,Lumiar,Lisboa
11,800,3,78.0,Lumiar,Lisboa
12,1200,2,101.0,Campo de Ourique,Lisboa
13,1100,2,88.0,Benfica,Lisboa
14,2200,4,184.0,Estrela,Lisboa
15,2100,2,120.0,Cascais,Lisboa
16,700,1,60.0,Ramalde,Porto
17,950,2,55.0,Misericórdia,Lisboa
18,900,2,94.0,Amadora,Lisboa
19,600,1,58.0,Amadora,Lisboa
20,650,2,129.0,Figueira da Foz,Coimbra
21,500,0,30.0,Bonfim,Porto
22,600,3,110.0,Vila Nova de Gaia,Porto
23,1000,4,197.0,Palmela,Setúbal
24,450,2,80.0,Chafé,Viana do Castelo
25,750,1,55.0,Odivelas,Lisboa
26,800,1,41.51,Arroios,Lisboa
27,925,1,47.3,Arroios,Lisboa
28,850,1,61.0,São Domingos de Benfica,Lisboa
29,2850,4,164.87,Avenidas Novas,Lisboa
30,650,2,60.0,Oeiras,Lisboa
31,700,3,70.0,Seixal,Setúbal
32,720,1,55.0,Penha de França,Lisboa
33,1300,3,125.0,Penha de França,Lisboa
34,1500,2,111.0,Lumiar,Lisboa
35,690,3,115.0,Alcochete,Setúbal
36,500,1,92.0,Valongo,Porto
37,650,3,98.0,Barreira e Cortes,Leiria
38,750,3,80.0,Mafra,Lisboa
39,700,2,68.0,Sintra,Lisboa
40,990,1,50.0,Santo António,Lisboa
41,1100,2,95.0,Lumiar,Lisboa
42,1200,1,59.0,Cascais,Lisboa
43,1700,2,69.0,Cascais,Lisboa
44,800,2,57.0,Alvalade,Lisboa
45,1200,4,146.0,Odivelas,Lisboa
46,2100,3,125.0,Alcântara,Lisboa
48,380,2,100.0,Covilhã,Castelo Branco
49,320,0,60.0,Covilhã,Castelo Branco
50,3500,4,309.0,Avenidas Novas,Lisboa
51,3450,2,118.25,Misericórdia,Lisboa
52,3500,2,145.0,Santa Maria Maior,Lisboa
53,1950,3,189.0,Belém,Lisboa
54,1500,2,113.3,Campolide,Lisboa
55,2000,2,143.25,Santo António,Lisboa
56,2500,1,145.0,Estrela,Lisboa
57,2100,2,112.86,Misericórdia,Lisboa
58,1600,3,138.0,Amadora,Lisboa
59,2300,2,125.82,Santa Maria Maior,Lisboa
60,1900,1,116.0,Santo António,Lisboa
61,1800,2,122.64,Santo António,Lisboa
62,1600,1,55.9,Avenidas Novas,Lisboa
63,1500,1,80.0,Cascais,Lisboa
64,2500,3,167.5,Alvalade,Lisboa
65,3000,1,55.42,Santa Maria Maior,Lisboa
66,1550,3,120.0,Avenidas Novas,Lisboa
67,1700,3,145.0,Avenidas Novas,Lisboa
68,1700,3,140.0,Avenidas Novas,Lisboa
69,1750,3,145.0,Avenidas Novas,Lisboa
70,2600,1,84.76,Santo António,Lisboa
71,2500,1,84.76,Santo António,Lisboa
72,2400,1,84.76,Santo António,Lisboa
73,1675,2,98.6,Alcântara,Lisboa
74,1575,2,98.7,Alcântara,Lisboa
75,1800,1,74.8,Santo António,Lisboa
76,1800,2,145.8,Avenidas Novas,Lisboa
77,1950,2,100.0,Santo António,Lisboa
78,1675,3,130.0,Avenidas Novas,Lisboa
79,3500,3,185.0,Avenidas Novas,Lisboa
80,1600,1,74.8,Santo António,Lisboa
81,2200,4,192.0,Arroios,Lisboa
82,1850,3,160.0,Avenidas Novas,Lisboa
83,3500,2,155.0,Santo António,Lisboa
84,1650,2,105.0,Misericórdia,Lisboa
85,2200,2,96.8,Belém,Lisboa
86,2750,3,189.7,Santo António,Lisboa
87,1500,2,70.0,Avenidas Novas,Lisboa
88,2000,1,90.0,Santo António,Lisboa
89,3500,2,113.0,Cascais,Lisboa
90,1950,3,120.0,Estrela,Lisboa
91,2600,4,245.0,Avenidas Novas,Lisboa
92,2500,5,248.0,Avenidas Novas,Lisboa
93,3100,3,180.0,Cascais,Lisboa
94,2400,5,197.5,Areeiro,Lisboa
95,2100,3,119.0,Matosinhos,Porto
96,1500,1,63.5,Santo António,Lisboa
97,2200,1,60.0,Cascais,Lisboa
98,2000,1,60.0,Cascais,Lisboa
99,1500,0,35.0,Cascais,Lisboa
100,1650,3,129.0,Avenidas Novas,Lisboa
101,2200,1,126.17,Misericórdia,Lisboa
102,1750,3,140.0,Estrela,Lisboa
103,1850,4,160.0,Avenidas Novas,Lisboa
104,1825,2,125.0,Avenidas Novas,Lisboa
105,2950,3,180.2,Avenidas Novas,Lisboa
106,3000,2,112.0,Cascais,Lisboa
107,2500,4,136.0,Misericórdia,Lisboa
108,1800,1,56.0,Cascais,Lisboa
109,3500,3,165.58,Cascais,Lisboa
110,1500,3,119.0,Ramalde,Porto
111,3500,4,280.0,Avenidas Novas,Lisboa
112,2350,2,128.4,Belém,Lisboa
113,2750,2,142.5,Belém,Lisboa
114,1900,2,120.45,Areeiro,Lisboa
115,2750,3,197.0,Campolide,Lisboa
116,575,1,55.0,Sintra,Lisboa
117,650,1,45.0,Sintra,Lisboa
118,600,1,42.0,Odivelas,Lisboa
119,600,1,35.0,Lordelo do Ouro e Massarelos,Porto
120,820,2,65.0,Olivais,Lisboa
121,1500,4,108.0,Arroios,Lisboa
122,1450,2,112.0,Oeiras,Lisboa
123,1450,2,85.0,Belém,Lisboa
124,990,3,70.0,Santo António,Lisboa
125,2100,6,220.0,São Vicente,Lisboa
127,900,1,70.0,Cascais,Lisboa
128,1600,2,116.0,Benfica,Lisboa
129,750,2,27.0,Arroios,Lisboa
130,5500,3,205.0,Cascais,Lisboa
131,1100,3,95.0,Lumiar,Lisboa
132,1100,1,65.0,Cascais,Lisboa
133,749,1,20.0,Alvalade,Lisboa
134,825,2,65.0,Cascais,Lisboa
135,1700,3,101.63,Cascais,Lisboa
136,1900,2,111.0,Oeiras,Lisboa
137,1700,2,90.0,Cascais,Lisboa
138,1450,2,78.8,Cascais,Lisboa
139,3800,4,276.0,Cascais,Lisboa
140,4500,3,130.0,Cascais,Lisboa
141,2600,3,153.12,Oeiras,Lisboa
142,3900,3,160.0,Cascais,Lisboa
143,1350,2,97.0,Areeiro,Lisboa
144,1000,3,154.0,Glória e Vera Cruz,Aveiro
145,700,1,50.0,Ramalde,Porto
146,1850,4,140.0,Estrela,Lisboa
147,950,2,103.0,Vila Nova de Gaia,Porto
148,750,0,28.0,Cascais,Lisboa
149,1400,3,120.0,Loures,Lisboa
150,850,2,68.0,Arroios,Lisboa
151,900,2,85.0,Cascais,Lisboa
152,1850,3,172.3,Gondomar,Porto
153,950,3,89.0,Amadora,Lisboa
154,750,1,50.0,São Nicolau e Vitória,Porto
156,900,2,57.1,Mafra,Lisboa
157,650,2,90.0,Loures,Lisboa
158,850,1,48.0,Foz do Douro e Nevogilde,Porto
160,1100,1,50.0,Estrela,Lisboa
161,400,1,56.0,Loures,Lisboa
162,750,2,90.0,Glória e Vera Cruz,Aveiro
163,880,2,60.0,Santo António,Lisboa
164,1500,3,105.0,Campolide,Lisboa
165,650,0,45.0,São Nicolau e Vitória,Porto
166,730,2,83.0,Sintra,Lisboa
167,900,3,110.0,Areeiro,Lisboa
168,1000,4,98.0,Vila Nova de Gaia,Porto
169,850,2,110.0,Vila Nova de Gaia,Porto
170,650,1,82.0,Funchal,Ilha da Madeira
171,575,1,48.0,Glória e Vera Cruz,Aveiro
172,890,2,80.0,São Vicente,Lisboa
173,850,2,70.0,Odivelas,Lisboa
174,1550,2,170.0,Mafra,Lisboa
175,600,1,47.0,Bonfim,Porto
176,1000,2,65.0,Cascais,Lisboa
177,4500,3,170.0,Cascais,Lisboa
178,800,5,178.0,União de Freguesias da cidade de Santarém,Santarém
180,800,1,50.0,Maia,Porto
181,1200,2,89.0,Maia,Porto
182,700,2,78.0,Amadora,Lisboa
183,550,1,57.0,Viseu,Viseu
184,550,3,143.0,Barcelos,Braga
185,600,2,105.0,Viseu,Viseu
186,550,1,56.0,Lordelo do Ouro e Massarelos,Porto
188,1100,2,81.0,Lordelo do Ouro e Massarelos,Porto
189,650,2,89.0,Odivelas,Lisboa
190,850,3,79.0,Bonfim,Porto
191,590,3,123.0,Vila Nova de Gaia,Porto
192,1000,2,80.0,São Domingos de Benfica,Lisboa
193,700,1,50.0,Lumiar,Lisboa
194,600,0,45.0,Cascais,Lisboa
195,1490,3,120.0,Cascais,Lisboa
196,700,1,58.0,Oeiras,Lisboa
197,950,2,80.0,Matosinhos,Porto
198,600,1,40.0,Cascais,Lisboa
199,920,2,94.0,São Nicolau e Vitória,Porto
200,450,3,105.0,Tomar,Santarém
201,1950,4,250.0,Lordelo do Ouro e Massarelos,Porto
202,680,2,74.0,Almada,Setúbal
203,1000,2,80.0,Cascais,Lisboa
204,1250,2,88.15,Foz do Douro e Nevogilde,Porto
205,650,2,101.0,São Victor,Braga
206,680,2,82.0,Odivelas,Lisboa
207,2000,3,130.0,Cascais,Lisboa
208,1500,2,125.0,Parque das Nações,Lisboa
209,900,1,55.0,Parque das Nações,Lisboa
210,650,1,90.0,Lordelo do Ouro e Massarelos,Porto
211,600,2,69.0,Tomar,Santarém
212,1450,4,130.0,Oeiras,Lisboa
